Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,TFP,TFP_Growth,GDP_Growth
COL,2004,Colombia,179130660092.783,27730280875.0599,16343767.0,2.24956393241882,16343767.0,340590083031.8026,199.225947122342,3.0848132434289077,5.333022067599025
COL,2005,Colombia,187780451739.376,31343852442.5001,16771617.999999998,2.27174520492554,16771617.999999998,354904431322.7126,201.14252767045357,0.9620135207261127,4.8287611077370896
COL,2006,Colombia,200393418124.055,37227617803.6024,19349955.0,2.29414510726929,,374386827560.1794,190.75490272218502,-5.164310635136971,6.716868698444056
COL,2007,Colombia,213896316785.023,44632656740.2787,16928612.0,2.31676602363586,16928612.0,400300142922.4491,215.57133097185638,13.00958868974076,6.738194690909927
COL,2008,Colombia,220919487240.849,43420671103.3494,17280396.0,2.3396098613739,17280396.0,423705806879.676,213.99732465521882,-0.7301556795801689,3.2834461861653397
COL,2009,Colombia,223437193184.792,45355179625.2491,18191441.0,2.36267900466919,18191441.0,447875696160.9413,203.99694220498395,-4.6731343330328805,1.1396486454805954
COL,2010,Colombia,233479933032.173,48577536863.3683,18574776.0,2.38597559928894,18574776.0,474059448216.2625,204.8447551384109,0.41560080472924366,4.494658970709153
COL,2011,Colombia,249701866578.277,54509810828.0553,19209697.0,2.41068816184998,19209697.0,504866286633.50464,208.27159913001,1.6728980877658506,6.947891981735599
COL,2012,Colombia,259471791121.288,56327242193.9351,19766959.0,2.43565678596497,19766959.0,535950214495.7645,206.6499114790284,-0.7786408025653557,3.9126357671612766
COL,2013,Colombia,272793056063.57,61103698378.4749,20006416.0,2.46088433265686,20006416.0,570256402149.4512,209.5267271011585,1.3921204231544415,5.1339935199565145
COL,2014,Colombia,285066097496.814,66729237488.9164,20479393.0,2.48637270927429,20479393.0,608472819530.895,209.40497940117308,-0.05810604769608263,4.499030001109694
COL,2015,Colombia,293492370193.166,68603201437.9211,20859984.0,2.51212525367737,20859984.0,646652379992.2714,207.14816390424292,-1.0777277137267172,2.955901375275305
COL,2016,Colombia,299618678572.191,66620549038.7795,20930863.0,2.53814482688904,20930863.0,680940310031.4373,205.84172914161823,-0.6306764868206138,2.0873825016278547
COL,2017,Colombia,303691577641.583,67855877161.6442,21125155.0,2.5629780292511,21125155.0,714749171691.5095,202.61652123857215,-1.5668387146258178,1.3593608678875047
COL,2018,Colombia,311479214511.795,68559434276.7921,21271706.0,2.58082032203674,21271706.0,747571147383.7261,202.73868498909232,0.06029308457839999,2.5643242827770862
COL,2019,Colombia,321405606655.842,70092743821.6765,21309813.0,2.59878706932068,21309813.0,780285333836.2163,204.92126335845413,1.0765475614479936,3.1868553924554455
COL,2020,Colombia,298309675728.093,53535626766.5933,19049197.0,2.61687898635864,19049197.0,794806693910.9988,202.34692360546916,-1.256257994311627,-7.1859141376086395
COL,2021,Colombia,330530695024.886,62473975248.1539,20741208.0,2.63825917243958,20741208.0,817540334463.6028,208.94650136056407,3.2615162303937906,10.80119819048786
COL,2022,Colombia,354752900899.02,69657260568.4434,22032180.0,2.6601254940033,22032180.0,846320578308.866,211.89221579067558,1.409793612685717,7.328277294279828
COL,2023,Colombia,357280089727.874,60802434419.3706,22788394.0,2.68249130249023,22788394.0,864806983812.7932,206.07403346705405,-2.745821644231239,0.7123800319742468
COL,2024,Colombia,362990610076.174,62721989161.2179,23036043.0,2.705045158266809,23036043.0,884288623783.3715,205.16766573434737,-0.4398262689663812,1.598331536652231
CRI,1992,Costa Rica,21046199572.7927,3311921082.90621,1180500.0,2.29124546051025,,34626217039.47779,284.1138937291751,,
CRI,1993,Costa Rica,22539888605.2252,3802619119.39066,1236713.0,2.31214094161987,,36697525306.89456,287.5708051688191,1.216734385731666,7.097191239996858
CRI,1994,Costa Rica,23558472567.298,3942734523.05994,1286844.0,2.33322715759277,,38805383564.60977,285.54268238111484,-0.7052603224147358,4.519028376372147
CRI,1995,Costa Rica,24537080455.4701,4166456438.68344,1351531.0,2.35450530052185,,41031570825.06272,280.8405675920823,-1.646729220942389,4.153953043333236
CRI,1996,Costa Rica,24868443787.3919,3931690590.07437,1345220.0,2.36827611923218,,42911682873.88396,279.995140701806,-0.30103446148288526,1.350459491393674
CRI,1997,Costa Rica,26230280995.2372,4653068250.92361,1441542.0,2.38212728500366,,45419166981.113365,275.7428524652199,-1.518700726708233,5.476165776548281
CRI,1998,Costa Rica,28107138541.4782,5875315162.67182,1526529.0,2.39605975151062,,49023523794.729515,276.1170936951826,0.13572109906632157,7.155308578592012
CRI,1999,Costa Rica,29291801356.6403,5766776253.99497,1573058.0,2.41007351875305,,52339123858.98801,274.75971427874373,-0.49159557572966417,4.214811171239918
CRI,2000,Costa Rica,30425018574.4757,5502822412.91001,1596716.0,2.42416906356812,,55224990078.948616,276.3245666372976,0.5695348616377993,3.8687180895363493
CRI,2001,Costa Rica,31487207663.2952,5658281600.45434,1532291.0,2.44833302497864,1532291.0,58122022175.45552,286.6667124788644,3.742752939930183,3.4911698943401737
CRI,2002,Costa Rica,32563086627.9419,5942261892.33813,1564320.0,2.47273755073547,1564320.0,61158182959.02087,285.48882261154245,-0.41089174851746124,3.416876390410617
CRI,2003,Costa Rica,33968893647.7095,6265122962.12942,1626001.0,2.49738550186157,1626001.0,64365396773.199234,283.43853076239924,-0.7181688692355581,4.317179866362242
CRI,2004,Costa Rica,35471881178.9969,6330019568.05737,1641450.0,2.52227926254272,1641450.0,67477146502.59664,287.4854272738401,1.4277863001037394,4.4245995965451534
CRI,2005,Costa Rica,36882479548.0029,6620428510.36674,1761616.0,2.54742097854614,1761616.0,70723717687.83354,279.0387726112659,-2.938115765613558,3.9766663681801484
CRI,2006,Costa Rica,39584746492.4417,7128549775.76885,1812274.0,2.5419225692749,1812274.0,74316081579.21071,289.36624720645796,3.701089457406481,7.326695432506858
CRI,2007,Costa Rica,42836685662.1245,8481899159.34942,1913024.0,2.53643584251404,1913024.0,79082176659.5996,296.22693930344093,2.3709372337707313,8.215131983486913
CRI,2008,Costa Rica,44866362740.5382,9303668777.17325,1950284.0,2.53096103668213,1950284.0,84431736603.79286,299.87806811125574,1.232544486467102,4.738174877540335
CRI,2009,Costa Rica,44474474828.8682,8129642844.6336,1950014.0,2.52549815177918,1950014.0,88339792618.23682,293.0258856459565,-2.28498953206443,-0.8734559427878819
CRI,2010,Costa Rica,46858459461.2317,8477268214.47784,1907507.0,2.5200469493866,1907507.0,92400071201.80281,308.7337424213048,5.3605696782457635,5.360343526341227
CRI,2011,Costa Rica,48921712048.582,8752190773.02879,1897319.0,2.54592204093933,1897319.0,96532258414.74146,316.42860512343333,2.49239446319669,4.4031592397042685
CRI,2012,Costa Rica,51310359848.0341,9503607836.89642,2061815.9999999998,2.56810927391052,2061815.9999999998,101209253330.9008,307.515329555426,-2.816836222670338,4.882592410257525
CRI,2013,Costa Rica,52590433317.5191,9963385738.51573,2097462.0,2.5858325958252,2097462.0,106112176402.87149,305.20910955085094,-0.7499528585807824,2.494766112099356
CRI,2014,Costa Rica,54453244250.7631,10351214623.1167,2145535.0,2.60367846488953,2145535.0,111157782205.8446,305.01056546332455,-0.06505182227967143,3.542109877659927
CRI,2015,Costa Rica,56441920820.5194,10717714717.4987,2137792.0,2.62164735794067,2137792.0,116317607813.05107,310.5096164255131,1.8029050743980868,3.6520809680286925
CRI,2016,Costa Rica,58814921621.3159,11360656068.2955,2072882.9999999998,2.63974022865295,2072882.9999999998,121862383490.69402,323.32906860511855,4.128520181493522,4.20432325175899
CRI,2017,Costa Rica,61260269007.514,11369574479.9032,2118331.0,2.65795803070068,2118331.0,127138838796.0625,325.70862096276977,0.7359537352817913,4.157698962760925
CRI,2018,Costa Rica,62862779082.5908,11552889634.9592,2201777.0,2.67630171775818,2201777.0,132334786491.21857,319.96848650348153,-1.7623526335658113,2.6159044043378987
CRI,2019,Costa Rica,64382494195.8,10609590131.5992,2260413.0,2.6947717666626,2260413.0,136327637298.25684,317.3964532250017,-0.8038395613850002,2.4175118176251287
CRI,2020,Costa Rica,61631202097.7205,10252022654.1773,2024586.0,2.71336936950684,2024586.0,139763278087.5213,322.11705167630475,1.4872877133118356,-4.273354321614631
CRI,2021,Costa Rica,66522107766.4296,11055185810.0793,2122234.0,2.70895266532898,2122234.0,143830299993.22455,334.1810516148558,3.7452223891190073,7.935762247431488
CRI,2022,Costa Rica,69549856033.0247,11216193280.4422,2235855.0,2.70455527305603,2235855.0,147854978274.0055,334.8520633021808,0.20079285886571707,4.5514917795840715
CRI,2023,Costa Rica,73105190307.8725,12180565513.4389,2163953.0,2.70017671585083,2163953.0,152642794873.7441,355.9143479717433,6.290026844050023,5.111921832245914
CRI,2024,Costa Rica,76264229553.4307,12703425014.0414,2258250.0,2.6958052473390617,2258250.0,157714080144.0983,357.41014614281573,0.4202691404818548,4.32122429646149
MEX,1992,Mexico,716775997861.725,160425810266.289,31407743.0,2.22630405426025,,2071422593094.483,279.0523101370106,,
MEX,1993,Mexico,737325961811.202,158431473392.421,32566874.0,2.24937796592712,,2126282936832.1797,275.9606284188306,-1.1079219221163283,2.8669994546108413
MEX,1994,Mexico,769725007521.97,179280255624.9,33420497.0,2.27269101142883,,2199249045615.4707,278.0865014437978,0.770353741092622,4.394127887641641
MEX,1995,Mexico,724231953299.776,118512320857.187,34294154.0,2.29624581336975,,2207798914191.884,255.23301187203373,-8.218122581682664,-5.910299623582837
MEX,1996,Mexico,769266848274.163,140521988841.382,35163744.0,2.32004451751709,,2237930957323.6714,263.6915720073743,3.31405411600183,6.21829715869302
MEX,1997,Mexico,824645415966.33,162213910259.847,36800377.0,2.3440899848938,,2288248319717.335,270.4916669165284,2.5788063142814233,7.198876152847067
MEX,1998,Mexico,875650385843.31,179539183581.628,37464290.0,2.36838483810425,,2353375087313.096,279.2501944005235,3.2380027022044677,6.185078930828936
MEX,1999,Mexico,899774820109.764,187716675086.389,37826980.0,2.39293122291565,,2423423008033.8306,280.3547250376311,0.39553442012054685,2.7550303930055975
MEX,2000,Mexico,945027051117.631,196949494283.116,38588417.0,2.41773200035095,,2499201351915.2554,285.6284575566283,1.8810927899607588,5.029283993782641
MEX,2001,Mexico,940766441516.06,183455616675.338,38338019.0,2.43708729743958,38338019.0,2557696900994.8306,281.7793414077264,-1.3475954678426105,-0.45084525321599234
