cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
1047716,LATAM AIRLINES GROUP S.A.,Chile,2022,20-F,185627,1,0,1,1,1,0,1,0.0539,0.0539
1047716,LATAM AIRLINES GROUP S.A.,Chile,2023,20-F,185094,6,0,6,4,0,0,6,0.3242,0.3242
1047716,LATAM AIRLINES GROUP S.A.,Chile,2024,20-F,197030,6,0,6,6,0,0,6,0.3045,0.3045
1047716,LATAM AIRLINES GROUP S.A.,Chile,2025,20-F,196369,5,2,7,9,0,0,7,0.3565,0.3565
1049659,NATIONAL STEEL CO,Brazil,2017,20-F,173345,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2018,20-F,128411,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2019,20-F,131530,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2020,20-F,131672,0,0,0,0,0,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2021,20-F,151968,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2022,20-F,152740,0,0,0,0,0,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2023,20-F,148668,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2024,20-F,146706,0,0,0,0,1,0,0,0.0,0.0
1049659,NATIONAL STEEL CO,Brazil,2025,20-F,164052,3,6,9,22,0,0,9,0.5486,0.5486
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2017,20-F,192293,0,0,0,0,1,0,0,0.0,0.0
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2018,20-F,191645,0,0,0,0,1,0,0,0.0,0.0
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2019,20-F,182869,0,0,0,0,0,0,0,0.0,0.0
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2020,20-F,205577,0,1,1,0,0,0,1,0.0486,0.0486
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2021,20-F,227884,0,2,2,0,0,0,2,0.0878,0.0878
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2022,20-F,206317,0,2,2,0,0,0,2,0.0969,0.0969
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2023,20-F,177772,0,0,0,0,0,0,0,0.0,0.0
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2024,20-F,182381,0,0,0,0,0,0,0,0.0,0.0
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,Mexico,2025,20-F,182130,0,1,1,1,0,0,1,0.0549,0.0549
1066116,TIM PARTICIPACOES SA,Brazil,2017,20-F,123505,1,1,2,0,0,0,2,0.1619,0.1619
1066116,TIM PARTICIPACOES SA,Brazil,2018,20-F,127503,3,1,4,1,0,0,4,0.3137,0.3137
1066116,TIM PARTICIPACOES SA,Brazil,2019,20-F,132766,2,1,3,1,0,0,3,0.226,0.226
1066119,TELEFONICA BRASIL S.A.,Brazil,2017,20-F,148348,1,0,1,0,0,0,1,0.0674,0.0674
1066119,TELEFONICA BRASIL S.A.,Brazil,2018,20-F,148019,5,0,5,0,0,0,5,0.3378,0.3378
1066119,TELEFONICA BRASIL S.A.,Brazil,2019,20-F,142027,7,2,9,0,0,0,9,0.6337,0.6337
1066119,TELEFONICA BRASIL S.A.,Brazil,2020,20-F,158604,7,1,8,0,1,0,8,0.5044,0.5044
1066119,TELEFONICA BRASIL S.A.,Brazil,2021,20-F,175764,7,2,9,1,0,0,9,0.5121,0.5121
